YR,BUSINESSID,WBID,WATER_BODY,WB_CLS,MDNR_IMPSZ,SIZE_,EPA_APPRSZ,UNIT,POLLUTANT,SOURCE_,IU,OU,UP_X,UP_Y,DWN_X,DWN_Y,COUNTY_U_D,WB_EPA,COMMENT_,PERM_ID,EVENTDAT,REACHCODE,RCHSMDATE,RCH_RES,SRC_DESC,FEAT_URL,FMEASURE,TMEASURE,SHAPE_Leng,Shape_Le_1
2012,51525,2188.0,Antire Cr.,P,1.9,1.9,1.9,Mi.,Escherichia coli (W),Urban Runoff/Storm Sewers,WBC B,"AQL, IRR, LWW, SCR, HHP",712453.5125,4264477.0972,710076.5781,4264450.07,St. Louis,Antire Cr.,1,{29525EE5-C8C7-4E38-A898-B6806F8B31BC},2012-09-06,07140102000716,,,Table H,,0.0,100.0,1343.26239257,1343.26239257
2012,51525,2188.0,Antire Cr.,P,1.9,1.9,1.9,Mi.,Escherichia coli (W),Urban Runoff/Storm Sewers,WBC B,"AQL, IRR, LWW, SCR, HHP",712453.5125,4264477.0972,710076.5781,4264450.07,St. Louis,Antire Cr.,1,{387C7A17-63E7-4147-8695-24DDA8915775},2012-09-06,07140102000717,,,Table H,,0.0,100.0,1704.31566588,1704.31566588
2012,51524,2188.0,Antire Cr.,P,1.9,1.9,1.9,Mi.,pH (W),Source Unknown,AQL,"IRR, LWW, SCR, WBC B, HHP",712453.5125,4264477.0972,710076.5781,4264450.07,St. Louis,Antire Cr.,1,{29525EE5-C8C7-4E38-A898-B6806F8B31BC},2012-09-06,07140102000716,,,Table H,,0.0,100.0,1343.26239257,1343.26239257
2012,51524,2188.0,Antire Cr.,P,1.9,1.9,1.9,Mi.,pH (W),Source Unknown,AQL,"IRR, LWW, SCR, WBC B, HHP",712453.5125,4264477.0972,710076.5781,4264450.07,St. Louis,Antire Cr.,1,{387C7A17-63E7-4147-8695-24DDA8915775},2012-09-06,07140102000717,,,Table H,,0.0,100.0,1704.31566588,1704.31566588
2012,51388,752.0,Bass Cr.,C,4.4,4.4,4.4,Mi.,Escherichia coli (W),Rural NPS,WBC A,"AQL, IRR, LWW, SCR, HHP",565032.3565,4297417.6399,561523.4547,4298649.1661,Boone,Bass Cr.,1,{21428DEC-EA8E-4426-8FC9-EB60FAE9750A},2012-07-23,10300102000855,,,Table H,,0.0,100.0,2062.01713368,2062.01713368
2012,51388,752.0,Bass Cr.,C,4.4,4.4,4.4,Mi.,Escherichia coli (W),Rural NPS,WBC A,"AQL, IRR, LWW, SCR, HHP",565032.3565,4297417.6399,561523.4547,4298649.1661,Boone,Bass Cr.,1,{4538E1E5-815D-49A0-B03B-34E0FACA3203},2012-07-23,10300102000853,,,Table H,,0.0,100.0,3990.07893245,3990.07893245
2012,51388,752.0,Bass Cr.,C,4.4,4.4,4.4,Mi.,Escherichia coli (W),Rural NPS,WBC A,"AQL, IRR, LWW, SCR, HHP",565032.3565,4297417.6399,561523.4547,4298649.1661,Boone,Bass Cr.,1,{0AAEFF08-F444-4EC0-8EFD-DE3D87948BE2},2012-07-23,10300102000856,,,Table H,,0.0,100.0,185.371022995,185.371022995
2012,51388,752.0,Bass Cr.,C,4.4,4.4,4.4,Mi.,Escherichia coli (W),Rural NPS,WBC A,"AQL, IRR, LWW, SCR, HHP",565032.3565,4297417.6399,561523.4547,4298649.1661,Boone,Bass Cr.,1,{C63772E1-9114-49CA-8CFF-EE6C0E4672A5},2012-07-23,10300102000857,,,Table H,,0.0,26.81716,282.765269639,282.765269639
2012,51388,752.0,Bass Cr.,C,4.4,4.4,4.4,Mi.,Escherichia coli (W),Rural NPS,WBC A,"AQL, IRR, LWW, SCR, HHP",565032.3565,4297417.6399,561523.4547,4298649.1661,Boone,Bass Cr.,1,{AC7FCC83-73E1-4B29-BEE4-F636F170A299},2012-07-23,10300102000854,,,Table H,,0.0,100.0,505.857270318,505.857270321
2012,51663,3240.0,Baynham Br.,P,4.0,4.0,4.0,Mi.,Escherichia coli (W),Rural NPS,WBC B,"AQL, IRR, LWW, SCR, HHP",379681.4386,4092596.3025,374809.0841,4091661.4657,Newton,Baynham Br.,1,{74F6F665-8A7E-4C70-8203-9835ABFF7D0B},2012-08-23,11070207000320,,,Table H,,0.0,41.73537,6677.93418082,6677.93418081
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{C99F5142-A764-4D04-853F-125AD6BBA3DC},2012-08-03,11010007000295,,,Table H,,0.0,100.0,1615.40366068,1615.40366068
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{E3E1C7DF-D532-4732-AA04-01C5723F4BA7},2012-08-03,11010007000296,,,Table H,,0.0,100.0,911.826858602,911.826858602
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{88F014E6-59F8-4F64-BAC2-0564BB9F740A},2012-08-03,11010007000297,,,Table H,,0.0,100.0,920.867999352,920.867999351
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{581A83AC-8A7F-48C1-BBBF-A41F1D04E634},2012-08-03,11010007000298,,,Table H,,0.0,100.0,131.446379256,131.446379254
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{8A1DB46F-7B3F-4AFD-9B6D-72143218C7DC},2012-08-03,11010007000299,,,Table H,,0.0,100.0,4680.84336214,4680.84336215
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{2172702C-1340-4ECF-A9B7-DE84D7A669D6},2012-08-03,11010007000300,,,Table H,,0.0,100.0,727.64457495,727.644574948
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{F8D9336D-C96B-428A-8492-A88E90B547B3},2012-08-03,11010007000301,,,Table H,,0.0,100.0,113.841412472,113.841412471
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{16041140-A3C6-4BD9-914C-F1223800C9EE},2012-08-03,11010007000302,,,Table H,,0.0,100.0,551.692750316,551.692750314
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{87FF4B13-5C0E-429D-ADE6-1C1B777C728F},2012-08-03,11010007000303,,,Table H,,0.0,100.0,383.232187057,383.232187059
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{67120FB3-59E3-49A4-9B9F-20464654A453},2012-08-03,11010007003766,,,Table H,,0.0,100.0,432.829271475,432.829271476
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{8B25D83B-1726-4055-BC4C-4A838980E101},2012-08-03,11010007000306,,,Table H,,0.0,100.0,1480.30338131,1480.30338131
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{B9E1158A-A602-43FC-9CD8-AE051CB965D4},2012-08-03,11010007000307,,,Table H,,0.0,100.0,614.376568655,614.376568654
2006,51772,2760.0,Bee Fk.,C,1.4,8.7,8.7,Mi.,Lead (W),Fletcher Lead Mine/Mill,AQL,"CLF, IRR, LWW, SCR, WBC A, HHP",668682.7883,4145626.6813,670777.5447,4145984.8788,Reynolds,Bee Fk.,1,{BF72702D-17A9-4CE1-9D1C-9F94FE9E78DA},2012-08-03,11010007000308,,,Table H,,0.0,100.0,1461.98958371,1461.98958371
2014,55614,3224.0,Beef Br.,P,2.5,2.5,2.5,Mi.,Cadmium (S),Mill Tailings,AQL,"IRR, LWW, SCR, WBC B, HHP",366622.9934,4094311.5379,366293.9676,4097416.5791,Newton,Beef Br.,1,{3A6EBCFC-95F7-45AC-886D-7B45ACCEE34A},2012-08-22,11070207001166,,,Table H,,0.0,52.79438,4068.65658896,4068.65658896
